;;;;;;;;;;;;;
;"Wymagania (w oparciu o specyfikacjê; z naciskiem na czêœæ aplikacji klienckiej)";Rodzaj wymagania;;;;;;;;;;;
1;W wersji demonstracyjnej aplikacji powinno znajdowaæ siê jedno zadanie testowe.;Funkcjonalne;;;;;;;;;;;
2;W wersji koñcowej aplikacji wœród zamieszczonych zadañ nie mo¿e znajdowaæ siê zadanie z wersji demonstracyjnej.;Funkcjonalne;;;;;;;;;;;
3;"Aplikacja ma wspieraæ systemy operacyjne: w czêœci klienckiej - Windows 7;  Windows 8/8.1; w czêœci serwerowej - Windows 7. ";Œrodowiskowe;;;;;;;;;;;
4;Aplikacja ma siê sk³adaæ z dwóch czêœci - klienckiej i serwerowej.;Funkcjonalne;;;;;;;;;;;
5;Dane z czêœci klienckiej maj¹ byæ dostarczane do czêœci serwerowej w postaci pliku tekstowego.;Funkcjonalne;;;;;;;;;;;
6;Umo¿liwienie u¿ytkownikom aplikacji klienckiej poszukiwania jednego defektu w ka¿dym ze stworzonych zadañ oraz ich raportowania. ;Funkcjonalne;;;;;;;;;;;
7;Aplikacja ma za zadanie generowaæ dziennik zdarzeñ czêœci klienckiej.;Funkcjonalne;;;;;;;;;;;
8;W aplikacji dostêpnych ma byæ nie mniej ni¿ 15 zadañ w czêœci klienckiej.;Funkcjonalne;;;;;;;;;;;
9;W ka¿dym zadaniu ma byæ tylko jeden defekt. ;Funkcjonalne;;;;;;;;;;;
10;Aplikacja nie posiada generatora zadañ. Wszystkie zadania maj¹ zostaæ zaimplementowane w aplikacji.;Funkcjonalne;;;;;;;;;;;
11;Aplikacja kliencka musi pracowaæ w jednym z trzech trybów - kapitana dru¿yny, cz³onka dru¿yny, zawodnika. Tryb pracy nale¿y wybraæ w trakcie logowania do aplikacji. ;Funkcjonalne;;;;;;;;;;;
12;W trybie cz³onka dru¿yny mo¿liwoœæ raportowania defektów ma byæ zablokowana.;Funkcjonalne;;;;;;;;;;;
13;Nie mo¿na zmieniæ trybu pracy w trakcie dzia³ania aplikacji.;Funkcjonalne;;;;;;;;;;;
14;Aplikacja nie mo¿e utraciæ danych w przypadku jej niespodziewanego zajêcia. ;Funkcjonalne;;;;;;;;;;;
15;Kopia zapasowa ma byæ tworzona po ka¿dorazowym klikniêciu w przycisk “Znalaz³em defekt”.;Funkcjonalne;;;;;;;;;;;
16;W przypadku utraty po³¹czenia sieciowego u¿ytkownik powinien mieæ dalsz¹ mo¿liwoœæ wykonywania wszystkich czynnoœci w aplikacji.;Funkcjonalne;;;;;;;;;;;
17;Mo¿liwoœæ rêczego importu i eksportu danych. ;Funkcjonalne;;;;;;;;;;;
18;Kolejnoœæ zadañ wyœwietlanych w czêœci klienckiej powinna byæ losowa.;Funkcjonalne;;;;;;;;;;;
